"IDSite";"NomSite";"NumSite";"Type";"Commune";"Departement";"Coord.Value";"Latitude";"Longitude";"MetriqueX";"MetriqueY"
"DLMASU 1";"Dolmen du Mas de Jantou (C)";"31731";"Dolmen";"Larnagol";"46";" N44.49237 E1.7532";"44.49237";"1.7532";"553568,248635644";"1943659,51357146"
"DLMASV 2";"Dolmen du Mas de Jantou (E)";"31732";"Dolmen";"Larnagol";"46";" N44.49237 E1.7532";"44.49237";"1.7532";"553568,248635644";"1943659,51357146"
"DLMAZ0 0";"Dolmen des Mazuquarts";"32271";"Dolmen";"Flaujac-Gare";"46";" N44.698741 E1.754448";"44.698741";"1.754448";"553837,713370217";"1966604,95011659"
"DLMOUE-0";"Dolmen de Moussié Haut";"31829";"Dolmen";"Miers";"46";" N44.8584639 E1.7341584";"44.8584639";"1.7341584";"552364,999313149";"1984374,99503301"
"DLMOUJX0";"Dolmen du Moulin (A)";"32245";"Dolmen";"Reilhac";"46";" N44.7011 E1.72";"44.7011";"1.72";"551108,0498024";"1966888,08409872"
"DLNIAR-0";"Dolmen de Niars";"31828";"Dolmen";"Miers";"46";" N44.8769336 E1.7034079";"44.8769336";"1.7034079";"549949,997680244";"1986447,4961013"
"DLNOU0 0";"Dolmen de Nougayrac";"29079";"Dolmen";"Saint-Martin-Labouval";"46";" N44.4827006 E1.7155001";"44.4827006";"1.7155001";"550559,140028131";"1942607,34536206"
"DLNOU1-0";"Dolmen de Noutary (B)";"32238";"Dolmen";"Carennac";"46";" N44.9066827 E1.7064675";"44.9066827";"1.7064675";"550218,393026821";"1989752,8759519"
"DLNOUT-0";"Dolmen de Noutary (A)";"32236";"Dolmen";"Carennac";"46";" N44.9025856 E1.7086959";"44.9025856";"1.7086959";"550390,806583798";"1989295,97693042"
"DLPAIL-4";"Dolmen de Combes-Hautes";"29783";"Dolmen";"Marcilhac-sur-Célé";"46";" N44.567377 E1.762384";"44.567377";"1.762384";"554360,217779817";"1951994,34503597"
"DLPAJO-3";"Dolmen dit de Pajot";"9415";"Dolmen";"Limogne-en-Quercy";"46";" N44.38772 E1.77982";"44.38772";"1.77982";"555604,465172692";"1932007,27292056"
"DLPANO 3";"Dolmen dit la Pierre Levée de la Pannonie";"11645";"Dolmen";"Rocamadour";"46";" N44.77736 E1.65363";"44.77736";"1.65363";"545918,904279451";"1975410,25252808"
"DLPCHA-2";"Dolmen de Péchaud";"9431";"Dolmen";"Marcilhac-sur-Célé";"46";" N44.5475 E1.80079";"44.5475";"1.80079";"557397,875707573";"1949762,61293481"
"DLPE02+4";"Dolmen de Peyrefit";"9393";"Dolmen";"Espédaillac";"46";" N44.62167 E1.79118";"44.62167";"1.79118";"556691.035940884";"1958014,82633537"
"DLPE03-3";"Dolmen dit Peyro Cotado";"9409";"Dolmen";"Larnagol";"46";" N44.49237 E1.7532";"44.49237";"1.7532";"553568,248635644";"1943659,51357146"
"DLPE04-0";"Dolmen dit Peych Peyroux";"9416";"Dolmen";"Livernon";"46";" N44.62106 E1.86995";"44.62106";"1.86995";"562945,726310271";"1957906,68089145"
"DLPE06-3";"Dolmen du Peyre Gages";"9829";"Dolmen";"Calvignac";"46";" N44.44356 E1.77791";"44.44356";"1.77791";"555496,346813144";"1938217,72216442"
"DLPE07+2";"Dolmen de Pech Linar (B)";"9830";"Dolmen";"Calvignac";"46";" N44.43765 E1.7949";"44.43765";"1.7949";"556845,257341906";"1937551.05744535"
"DLPE19-3";"Dolmen dit Peyrelevade";"11624";"Dolmen";"Lalbenque";"46";" N44.35104 E1.54306";"44.35104";"1.54306";"536684,187954461";"1928090,8062024"
"DLPE20-4";"Dolmen dit Peyrebru";"11632";"Dolmen";"Miers";"46";" N44.8835 E1.69624";"44.8835";"1.69624";"549389,346085182";"1987182,10630869"
"DLPE43+2";"Dolmen de Pech-Curet";"23432";"Dolmen";"Salviac";"46";" N44.69584 E1.28697";"44.69584";"1.28697";"516763,415171756";"1966667,53042359"
"DLPE44 0";"Dolmen de Peyrebrune";"23439";"Dolmen";"Saint-Projet";"46";" N44.7285 E1.50036";"44.7285";"1.50036";"533724,029707841";"1970095,50701432"
"DLPEC0-4";"Dolmen de Pech-Lapeyre";"9412";"Dolmen";"Limogne-en-Quercy";"46";" N44.40169 E1.7527";"44.40169";"1.7527";"553453,465734314";"1933576,44962218"
"DLPEC3+2";"Dolmen du Pech d'Agaïo";"9427";"Dolmen";"Saint-Chels";"46";" N44.54421 E1.81669";"44.54421";"1.81669";"558659,731608177";"1949388,28998102"
"DLPEC4+3";"Dolmen du Pech Laglayre (B)";"9434";"Dolmen";"Gréalou";"46";" N44.5347 E1.86547";"44.5347";"1.86547";"562532,333553785";"1948306,35991514"
"DLPEC5-2";"Dolmen de Igue";"9832";"Dolmen";"Calvignac";"46";" N44.43266 E1.77767";"44.43266";"1.77767";"555468,599497094";"1937005,80068226"
"DLPEC6-4";"Dolmen du Pech-Cayrou";"11635";"Dolmen";"Floirac";"46";" N44.90484 E1.67337";"44.90484";"1.67337";"547601.781709868";"1989569,55256181"
"DLPEC8-0";"Dolmen du Pech Ventoux";"11660";"Dolmen";"Espédaillac";"46";" N44.63651 E1.80134";"44.63651";"1.80134";"557509,0847074";"1959659,29732529"
"DLPEC9 3";"Dolmlens du Pech de Grammont";"12075";"Dolmen";"Gramat";"46";" N44.78479 E1.67273";"44.78479";"1.67273";"547438,380565325";"1976223,33887765"
"DLPECC-3";"Dolmen du Pech Plumet (A)";"31757";"Dolmen";"Loubressac";"46";" N44.8541322 E1.7696754";"44.8541322";"1.7696754";"555169,996256851";"1983872,49906749"
"DLPECD-2";"Dolmen du Pech Plumet (B)";"31758";"Dolmen";"Loubressac";"46";" N44.8546089 E1.7749501";"44.8546089";"1.7749501";"555587,500583109";"1983922,49887066"
"DLPECE-4";"Dolmen du Pech Gayral";"31778";"Dolmen";"Calvignac";"46";" N44.4223027 E1.7849117";"44.4223027";"1.7849117";"556037,500953719";"1935850,00199742"
"DLPECH-3";"Dolmen du Pech Laglayre";"9403";"Dolmen";"Gréalou";"46";" N44.53502 E1.86278";"44.53502";"1.86278";"562318,604989142";"1948343,22947051"
"DLPECI-2";"Dolmen du Pech Nadal";"32131";"Dolmen";"Montcuq";"46";" N44.3162778 E1.2519444";"44.3162778";"1.2519444";"513403,170923867";"1924503,08837279"
"DLPECJ+3";"Dolmen du Pech Bayssou";"33462";"Dolmen";"Varaire";"46";" N44.3448702 E1.7623326";"44.3448702";"1.7623326";"554175,165431668";"1927252,33028222"
